Org Name,Budget,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
Nauset,,6600000,Public School District,Superintendent,Richard Hoffmann,78 Eldredge Pkwy,,Orleans,MA,2653,508-255-8800,508-240-2351,"06,07,08,09,10,11,12"
Needham,,1990000,Public School District,Superintendent,Daniel Gutekanst,1330 Highland Avenue,,Needham,MA,2492,781-455-0400,781-455-0417,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Neighborhood House Charter (District),,4440000,Charter District,Charter School Leader,Kate Scott,21 Queen Street,,Dorchester,MA,2122,617-825-0703,617-825-1829,"PK,K,01,02,03,04,05,06,07,08"
New Ashford (non-op),,2000000,Public School District,Superintendent,Barbara Ripa,1831 STATE ROAD,,RICHMOND,MA,1254,413-698-4001,413-698-4003,NA
New Bedford,,2010000,Public School District,Superintendent,Pia Durkin,455 County Street,C/O Paul Rodrigues Administration Bldg.,New Bedford,MA,2740,508-997-4511,508-997-0298,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
New Braintree (non-op),,2020000,Public School District,Superintendent,Maureen Marshall,15 Memorial Drive,,New Braintree,MA,1531,978-355-4668,--,NA
New Marlborough (non-op),,2050000,Public School District,Superintendent,David Hastings,PO Box 339,,Sheffield,MA,1257,413-229-8778,413-229-2913,NA
New Salem (non-op),,2060000,Public School District,Superintendent,Robert Mahler,18 Pleasant Street,,Erving,MA,1344,413-423-3337,413-423-3236,NA
New Salem-Wendell,,7280000,Public School District,Superintendent,Robert Mahler,18 Pleasant Street,,Erving,MA,1344,413-423-3337,413-423-3236,"PK,K,01,02,03,04,05,06"
Newbury (non-op),,2030000,Public School District,Superintendent,Christopher Farmer,112 Elm Street,,Byfield,MA,1922,978-465-2397,978-465-8599,NA
Newburyport,,2040000,Public School District,Superintendent,Susan Viccaro,70 Low Street,,Newburyport,MA,1950,978-465-4457,978-462-3495,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Newton,yes,2070000,Public School District,Superintendent,David Fleishman,100 Walnut Street,,Newtonville,MA,2460,617-559-6100,617-559-6101,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Norfolk,,2080000,Public School District,Superintendent,Ingrid Allardi,70 Boardman Street,,Norfolk,MA,2056,508-528-1225,508-528-3739,"PK,K,01,02,03,04,05,06"
Norfolk County Agricultural,,9150000,Public School District,Superintendent,Suzanne Green,400 Main Street,,Walpole,MA,2081,508-668-0268,508-668-0612,"09,10,11,12"
North Adams,,2090000,Public School District,Superintendent,James Montepare,191 East Main Street,Ste 1,North Adams,MA,1247,413-662-3225,413-662-3212,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
North Andover,,2110000,Public School District,Superintendent,Kevin Hutchinson,1600 Osgood Street,Suite 3-59,North Andover,MA,1845,978-794-1503,978-794-0231,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
North Attleborough,,2120000,Public School District,Superintendent,Suzan Cullen,6 Morse Street,,No. Attleborough,MA,2760,508-643-2100,508-643-2110,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
North Brookfield,,2150000,Public School District,Superintendent,John Provost,10 New School Drive,,North Brookfield,MA,1535,508-867-9821,508-867-8148,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
North Central Charter Essential (District),,4740000,Charter District,Charter School Leader,Stephanie Davolos,171 South Street,,Fitchburg,MA,1420,978-345-2701,978-345-9127,"07,08,09,10,11,12"
North Middlesex,,7350000,Public School District,Superintendent,Joan Landers,45 Main Street,,Pepperell,MA,1463,978-597-8713,978-597-6534,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
North Reading,,2170000,Public School District,Superintendent,Kathleen Willis,0 Sherman Road,,North Reading,MA,1864,978-664-7810,978-664-0252,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
North Shore Regional Vocational Technical,,8540000,Public School District,Superintendent,Daniel O'Connell,30 Log Bridge Road,PO Box 806,Middleton,MA,1949,978-762-0001,978-777-8403,"09,10,11,12"
Northampton,,2100000,Public School District,Superintendent,Regina Nash,212 Main Street,,Northampton,MA,1060,413-587-1315,413-587-1318,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Northampton-Smith Vocational Agricultural,,4060000,Public School District,Superintendent,Jeffrey Peterson,80 Locust Street,,Northampton,MA,1060,413-587-1414,413-587-1405,"09,10,11,12"
Northboro-Southboro,,7300000,Public School District,Superintendent,Charles Gobron,53 Parkerville Road,,Southborough,MA,1772,508-486-5115,508-486-5123,"09,10,11,12"
Northborough,,2130000,Public School District,Superintendent,Charles Gobron,53 Parkerville Road,,Southborough,MA,1772,508-486-5115,508-486-5123,"PK,K,01,02,03,04,05,06,07,08"
Northbridge,,2140000,Public School District,Superintendent,Nancy Spitulnik,87 Linwood Avenue,,Whitinsville,MA,1588,508-234-8156,508-234-8469,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Northeast Metropolitan Regional Vocational Technical,,8530000,Public School District,Superintendent,Theodore Nickole,100 Hemlock Rd,,Wakefield,MA,1880,781-246-0810,781-246-4919,"09,10,11,12"
Northern Berkshire Regional Vocational Technical,,8510000,Public School District,Superintendent,James Brosnan,70 Hodges Cross Rd,,North Adams,MA,1247,413-663-5383,413-664-9424,"09,10,11,12"
Northfield (non-op),,2160000,Public School District,Superintendent,Dayle Doiron,97 F Sumner Turner Rd,,Northfield,MA,1360,413-498-2911,413-498-0045,NA
Norton,,2180000,Public School District,Superintendent,Joseph Baeta,64 West Main Street,,Norton,MA,2766,508-285-0100,508-285-0199,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Norwell,,2190000,Public School District,Superintendent,Matthew Keegan,322 Main Street,,Norwell,MA,2061,781-659-8800,781-659-8805,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Norwood,,2200000,Public School District,Superintendent,James Hayden,275 Prospect Street,PO BOX 67,Norwood,MA,2062,781-762-6804,781-762-0229,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Oak Bluffs,,2210000,Public School District,Superintendent,James Weiss,4 Pine Street,,Vineyard Haven,MA,2568,508-693-2007,508-693-3190,"PK,K,01,02,03,04,05,06,07,08"
Oakham (non-op),,2220000,Public School District,Superintendent,Maureen Marshall,1 Deacon Allen Drive,PO Box 99,Oakham,MA,1068,978-355-4668,--,NA
Old Colony Regional Vocational Technical,,8550000,Public School District,Superintendent,Gary Brown,476 North Avenue,,Rochester,MA,2770,508-763-8011,508-763-9821,"09,10,11,12"
Old Rochester,,7400000,Public School District,Superintendent,Douglas White,135 Marion Rd,,Mattapoisett,MA,2739,508-758-2772,508-758-2802,"07,08,09,10,11,12"
Orange,,2230000,Public School District,Superintendent,Tari Thomas,507 S. Main Street,,Orange,MA,1364,978-544-2920,978-544-8383,"PK,K,01,02,03,04,05,06"
Orleans,,2240000,Public School District,Superintendent,Richard Hoffmann,78 Eldredge Pkwy,,Orleans,MA,2653,508-255-8800,508-240-2351,"K,01,02,03,04,05"
Otis (non-op),,2250000,Public School District,Superintendent,Joanne Austin,"555 N Main, POB 679",,Otis,MA,1253,413-269-4466,413-269-7659,NA
Oxford,,2260000,Public School District,Superintendent,Allen Himmelberger,4 Maple Road,,Oxford,MA,1540,508-987-6050,508-987-6054,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Palmer,,2270000,Public School District,Superintendent,Thomas Charko,24 Converse Street,c/o Suite 1,Palmer,MA,1069,413-283-2650,413-283-2655,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Pathfinder Regional Vocational Technical,,8600000,Public School District,Superintendent,Gerald Paist,240 Sykes Street,,Palmer,MA,1069,413-283-9701,413-284-0032,"09,10,11,12"
Paulo Freire Social Justice Charter School (District),,35010000,Charter District,Charter School Leader,Bob Brick,161 Lower Westfield ROad,,Holyoke,MA,1040,413-536-3201,413-536-3206,"09,10"
Paxton (non-op),,2280000,Public School District,Superintendent,Thomas Pandiscio,1745 Main Street,,Jefferson,MA,1522,508-829-1670,508-829-1680,NA
Peabody,,2290000,Public School District,Superintendent,Joseph Mastrocola,21 Johnson Street,,Peabody,MA,1960,978-536-6500,978-536-6590,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Pelham,,2300000,Public School District,Superintendent,Maria Geryk,170 Chestnut Street,Business Office,Amherst,MA,1002,413-362-1810,413-549-6108,"K,01,02,03,04,05,06"
Pembroke,,2310000,Public School District,Superintendent,Frank Hackett,72 Pilgrim Road,Office of the Superintendent,Pembroke,MA,2359,781-829-1178,781-826-1182,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Pentucket,,7450000,Public School District,Superintendent,Jeffrey Mulqueen,22 Main Street,,West Newbury,MA,1985,978-363-2280,978-363-1165,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Pepperell (non-op),,2320000,Public School District,Superintendent,Maureen Marshall,23 Main Street,,Townsend,MA,1469,978-597-8713,978-597-6534,NA
Peru (non-op),,2330000,Public School District,Superintendent,William Cameron,PO Box 299,,Dalton,MA,1227,413-684-0320,413-684-4088,NA
Petersham,,2340000,Public School District,Superintendent,Tari Thomas,P O Box 148,,Petersham,MA,1366,978-724-3363,978-724-6687,"K,01,02,03,04,05,06"
Phillipston (non-op),,2350000,Public School District,Superintendent,Ruth Miller,462 Baldwinville Road,,Baldwinville,MA,1436,978-939-5661,978-939-5179,NA
Phoenix Charter Academy (District),,4930000,Charter District,Charter School Leader,Beth Anderson,59 Nichols St,,Chelsea,MA,2150,617-889-3100,617-889-3144,"09,10,11,12"
Pioneer Charter School of Science (District),,4940000,Charter District,Charter School Leader,Barish Icin,51-59 Summer Street,,Everett,MA,2149,617-389-7277,617-389-7278,"07,08,09,10,11,12"
Pioneer Charter School of Science II (PCSS-II) (District),,35060000,Charter District,Charter School Leader,Barish Icin,51 Summer Street,,Everett,MA,2149,617-389-7277,--,"07,08,09"
Pioneer Valley,,7500000,Public School District,Superintendent,Dayle Doiron,97 F Sumner Turner Rd,,Northfield,MA,1360,413-498-2911,413-498-0045,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Pioneer Valley Chinese Immersion Charter(District),,4970000,Charter District,Charter School Leader,Kathleen Wang,317 Russell Street,,Hadley,MA,1035,413-582-7040,413-582-7068,"K,01,02,03,04,05,06,07,08,09"
Pioneer Valley Performing Arts Charter Public (District),,4790000,Charter District,Charter School Leader,Scott Goldman,15 Mulligan Drive,,South Hadley,MA,1075,413-552-1580,413-552-1594,"07,08,09,10,11,12"
Pittsfield,,2360000,Public School District,Superintendent,Jason Mccandless,269 First Street,,Pittsfield,MA,1201,413-499-9512,413-448-2643,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Plainfield (non-op),,2370000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,1370,413-625-0192,413-625-0196,NA
Plainville,,2380000,Public School District,Superintendent,David Raiche,68 Messenger Street,,Plainville,MA,2762,508-699-1300,508-699-1302,"PK,K,01,02,03,04,05,06"
Plymouth,,2390000,Public School District,Superintendent,Gary Maestas,253 South Meadow Rd,,Plymouth,MA,2360,508-830-4300,508-746-1873,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Plympton,,2400000,Public School District,Superintendent,John Tuffy,250 Pembroke Street,,Kingston,MA,2364,781-585-4313,781-585-2994,"K,01,02,03,04,05,06"
Princeton (non-op),,2410000,Public School District,Superintendent,Thomas Pandiscio,1745 Main Street,,Jefferson,MA,1522,508-829-1670,508-829-1680,NA
Prospect Hill Academy Charter (District),,4870000,Charter District,Charter School Leader,Michael O'Donnell,50 Essex Street,,Cambridge,MA,2139,617-284-7800,617-284-7980,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Provincetown,,2420000,Public School District,Superintendent,Beth Singer,12 Winslow Street,,Provincetown,MA,2657,508-487-5000,508-487-5098,"PK,K,01,02,03,04,05,06,07,08"
Quabbin,,7530000,Public School District,Superintendent,Maureen Marshall,872 South Street,,Barre,MA,1005,978-355-4668,978-355-6756,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Quaboag Regional,,7780000,Public School District,Superintendent,Brett Kustigian,284 Old West Brookfield Road,PO Box 1538,Warren,MA,1083,413-436-9256,413-436-9738,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Quincy,yes,2430000,Public School District,Superintendent,Richard Decristofaro,159 Burgin Parkway,,Quincy,MA,2169,617-984-8700,617-984-8965,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Ralph C Mahar,,7550000,Public School District,Superintendent,Tari Thomas,507 South Main Street,,Orange,MA,1364,978-544-2920,978-544-8383,"07,08,09,10,11,12"
Randolph,,2440000,Public School District,Superintendent,Steven Moore,40 Highland Avenue,,Randolph,MA,2368,781-961-6205,781-961-6295,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Raynham (non-op),,2450000,Public School District,Superintendent,Jacqueline Forbes,166 Mt. Prospect Street,,Bridgewater,MA,2324,508-279-2140,508-697-7012,NA
Reading,,2460000,Public School District,Superintendent,John Doherty,82 Oakland Road,,Reading,MA,1867,781-944-5800,781-942-9149,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Rehoboth (non-op),,2470000,Public School District,Superintendent,Jennifer Elineema,2700 Regional Road,,North Dighton,MA,2764,508-252-5000,508-252-5024,NA
Revere,yes,2480000,Public School District,Superintendent,Paul Dakin,101 School Street,,Revere,MA,2151,781-286-8226,781-286-8221,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Richmond,,2490000,Public School District,Superintendent,Barbara Ripa,1831 State Road,,Richmond,MA,1254,413-698-2207,413-698-4003,"PK,K,01,02,03,04,05,06,07,08"
Rising Tide Charter Public (District),,4830000,Charter District,Charter School Leader,Jill Crafts,6 Resnik Road,,Plymouth,MA,2360,508-747-2620,508-830-9441,"05,06,07,08,09,10,11"
River Valley Charter (District),,4820000,Charter District,Charter School Leader,Andrew Willemsen,2 Perry Way,,Newburyport,MA,1950,978-465-0065,978-465-0119,"K,01,02,03,04,05,06,07,08"
Rochester,,2500000,Public School District,Superintendent,Douglas White,135 Marion Rd,,Mattapoisett,MA,2739,508-758-2772,508-758-2802,"PK,K,01,02,03,04,05,06"
Rockland,,2510000,Public School District,Superintendent,John Retchless,34 MacKinlay Way,,Rockland,MA,2370,781-878-3893,781-982-1483,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Rockport,,2520000,Public School District,Superintendent,Robert Liebow,24 Jerdens Lane,c/o Rockport Public Schools,Rockport,MA,1966,978-546-1200,978-546-1205,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Rowe,,2530000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,1370,413-625-0192,413-625-0196,"PK,K,01,02,03,04,05,06"
Rowley (non-op),,2540000,Public School District,Superintendent,Christopher Farmer,112 Elm Street,,Byfield,MA,1922,978-465-2397,978-465-8599,NA
Roxbury Preparatory Charter (District),,4840000,Charter District,Charter School Leader,Will Austin,120 Fisher Avenue,,Roxbury,MA,2120,617-566-2361,617-566-2373,"05,06,07,08"
Royalston (non-op),,2550000,Public School District,Superintendent,Anthony Polito,250 South Main Street,,Athol,MA,1331,978-249-2400,978-249-2402,NA
Russell (non-op),,2560000,Public School District,Superintendent,David Hopson,12 Littleville Road,,Huntington,MA,1050,413-685-1011,413-667-8739,NA
Rutland (non-op),,2570000,Public School District,Superintendent,Thomas Pandiscio,1745 Main Street,,Jefferson,MA,1522,508-829-1670,508-829-1680,NA
Sabis International Charter (District),,4410000,Charter District,Charter School Leader,Karen Reuter,160 Joan Street,,Springfield,MA,1129,413-783-2600,413-783-2555,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Salem,,2580000,Public School District,Superintendent,Stephen Russell,29 Highland Avenue,,Salem,MA,1970,978-740-1212,978-740-3083,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Salem Academy Charter (District),,4850000,Charter District,Charter School Leader,Sean O'Neil,45 Congress Street,c/o Shetland Pk,Salem,MA,1970,978-744-2105,978-744-7246,"06,07,08,09,10,11,12"
Salem Community Charter School (District),,4670000,Charter District,Charter School Leader,Jessica Yurwitz,1 Museum Place Mall,Suite 121,Salem,MA,1970,978-825-3470,978-825-3475,"09,10,11,12"
Salisbury (non-op),,2590000,Public School District,Superintendent,Christopher Farmer,112 Elm Street,,Byfield,MA,1922,978-465-2397,978-465-8599,NA
Sandisfield (non-op),,2600000,Public School District,Superintendent,Joanne Austin,"555 N Main, POB 679",,Otis,MA,1253,413-269-4466,413-269-7659,NA
Sandwich,,2610000,Public School District,Superintendent,Richard Canfield,260 Quaker Meetinghouse Road,,East Sandwich,MA,2537,508-888-1054,508-888-9505,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Saugus,yes,2620000,Public School District,Superintendent,Michael Tempesta,23 Main Street,,Saugus,MA,1906,781-231-5000,781-233-9424,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Savoy,,2630000,Public School District,Superintendent,Jon Lev,26 Chapel Road,,Savoy,MA,1256,413-743-1992,413-743-1114,"PK,K,01,02,03,04,05"
Scituate,,2640000,Public School District,Superintendent,John McCarthy,606 C J Cushing Hwy,,Scituate,MA,2066,781-545-8759,781-545-6291,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Seekonk,,2650000,Public School District,Superintendent,Arlene Bosco,25 Water Lane,,Seekonk,MA,2771,508-399-5106,508-399-5128,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Seven Hills Charter Public (District),,4860000,Charter District,Charter School Leader,Krista Piazza,51 Gage Street,,Worcester,MA,1605,508-799-7500,508-753-9679,"K,01,02,03,04,05,06,07,08"
Sharon,,2660000,Public School District,Superintendent,Timothy Farmer,75 Mountain Street,,Sharon,MA,2067,781-784-1570,781-784-1573,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Shawsheen Valley Regional Vocational Technical,,8710000,Public School District,Superintendent,Charles Lyons,100 Cook Street,,Billerica,MA,1821,978-667-2111,978-663-6272,"09,10,11,12"
Sheffield (non-op),,2670000,Public School District,Superintendent,David Hastings,491 Berkshire School Road,P. O. Box 339,Sheffield,MA,1257,413-229-8778,413-229-2913,NA
Shelburne (non-op),,2680000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,1370,413-625-0192,413-625-0196,NA
Sherborn,,2690000,Public School District,Superintendent,Steven Bliss,157 Farm Street,,Dover,MA,2030,508-785-0036,508-785-2239,"PK,K,01,02,03,04,05"
Shirley (non-op),,2700000,Public School District,Superintendent,Malcolm Reid,34 Lancaster Rd,,Shirley,MA,1464,978-425-2630,978-425-0766,NA
Shrewsbury,,2710000,Public School District,Superintendent,Joseph Sawyer,100 Maple Avenue,,Shrewsbury,MA,1545,508-841-8400,508-841-8490,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Shutesbury,,2720000,Public School District,Superintendent,Robert Mahler,18 Pleasant Street,,Erving,MA,1344,413-423-3337,413-423-3236,"PK,K,01,02,03,04,05,06"
Silver Hill Horace Mann Charter (District),,4770000,Charter District,Charter School Leader,Margaret Shepherd,675 Washington Street,,Haverhill,MA,1832,978-374-3448,978-374-3461,"K,01,02,03,04,05"
Silver Lake,,7600000,Public School District,Superintendent,John Tuffy,250 Pembroke Street,,Kingston,MA,2364,781-585-4313,781-585-2994,"PK,07,08,09,10,11,12"
Smith Leadership Academy Charter Public (District),,4190000,Charter District,Charter School Leader,Karmala Sherwood,23 Leonard Street,,Boston,MA,2122,617-474-7950,617-474-7957,"06,07,08"
Somerset,,2730000,Public School District,Superintendent,Richard Medeiros,580 Whetstone Hill Road,,Somerset,MA,2726,508-324-3100,508-324-3104,"PK,K,01,02,03,04,05,06,07,08"
Somerset Berkley Regional School District,,7630000,Public School District,Superintendent,Thomas Lynch,580 Whetstone Hill,,Somerset,MA,2726,508-324-3100,508-324-3104,"09,10,11,12"
Somerville,,2740000,Public School District,Superintendent,Anthony Pierantozzi,42 Cross Street,,Somerville,MA,2145,617-625-6600,617-591-7902,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
South Hadley,,2780000,Public School District,Superintendent,Nicholas Young,116 Main Street,,South Hadley,MA,1075,413-538-5060,413-532-6284,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
South Middlesex Regional Vocational Technical,,8290000,Public School District,Superintendent,Jonathan Evans,750 Winter Street,,Framingham,MA,1702,508-416-2250,508-416-2342,"09,10,11,12"
South Shore Charter Public (District),,4880000,Charter District,Charter School Leader,Alicia Savage,100 Longwater Circle,,Norwell,MA,2061,781-982-4202,781-982-4201,"K,01,02,03,04,05,06,07,08,09,10,11,12"
South Shore Regional Vocational Technical,,8730000,Public School District,Superintendent,Thomas Hickey,476 Webster Street,,Hanover,MA,2339,781-878-8822,781-982-0281,"09,10,11,12"
Southampton,,2750000,Public School District,Superintendent,Craig Jurgensen,19 Stage Rd,,Westhampton,MA,1027,413-527-7200,413-529-9497,"PK,K,01,02,03,04,05,06"
Southborough,,2760000,Public School District,Superintendent,Charles Gobron,53 Parkerville Road,,Southborough,MA,1772,508-486-5115,508-486-5123,"PK,K,01,02,03,04,05,06,07,08"
Southbridge,,2770000,Public School District,Superintendent,Basan Nembirkow,25 Cole Avenue,,Southbridge,MA,1550,508-764-5414,508-764-8325,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Southeastern Regional Vocational Technical,,8720000,Public School District,Superintendent,Luis Lopes,250 Foundry Street,,South Easton,MA,2375,508-230-1200,508-230-1563,"09,10,11,12"
Southern Berkshire,,7650000,Public School District,Superintendent,David Hastings,PO BOX 339,,Sheffield,MA,1257,413-229-8778,413-229-2913,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Southern Worcester County Regional Vocational Technical,,8760000,Public School District,Superintendent,John LaFleche,57 Old Muggett Hill Road,,Charlton,MA,1507,508-248-5971,508-248-4747,"09,10,11,12"
Southfield (non-op),,3530000,Public School District,Superintendent,Kevin Donovan,223 Shea Memorial Drive,c/o South Shore Tri-Town Development Corporation,South Weymouth,MA,2190,781-682-2187,--,NA
Southwick (non-op),,2790000,Public School District,Superintendent,John Barry,86 Powder Mill Road,,Southwick,MA,1077,413-569-5391,413-569-1711,NA
Southwick-Tolland-Granville Regional School District,,7660000,Public School District,Superintendent,John Barry,86 Powder Mill Road,,Southwick,MA,1077,413-569-5391,413-569-1711,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Spencer (non-op),,2800000,Public School District,Superintendent,Edward Malvey,306 Main Street,,Spencer,MA,1562,508-885-8500,508-885-8504,NA
Spencer-E Brookfield,,7670000,Public School District,Superintendent,Edward Malvey,306 Main Street,,Spencer,MA,1562,508-885-8500,508-885-8504,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Spirit of Knowledge Charter School (District),,4760000,Charter District,Charter School Leader,Paula Bailey,PO Box 20925,,Worcester,MA,1602,508-252-7321,508-562-4552,"07,08,09,10,11,12"
Springfield,,2810000,Public School District,Superintendent,Daniel Warwick,1550 Main Street,PO Box 1410,Springfield,MA,1103,413-787-7100,413-787-7171,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Sterling (non-op),,2820000,Public School District,Superintendent,Thomas Pandiscio,1745 Main Street,,Jefferson,MA,1522,508-829-1670,508-829-1680,NA
Stockbridge (non-op),,2830000,Public School District,Superintendent,Peter Dillon,207 Pleasant Street,PO Box 596,Housatonic,MA,1236,413-274-6400,--,NA
Stoneham,,2840000,Public School District,Superintendent,Les Olson,149 Franklin Street,,Stoneham,MA,2180,781-279-3802,781-279-3818,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Stoughton,,2850000,Public School District,Superintendent,Marguerite Rizzi,232 Pearl Street,,Stoughton,MA,2072,781-344-4000,781-344-6417,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Stow (non-op),,2860000,Public School District,Superintendent,Michael Wood,50 Mechanic Street,,Bolton,MA,1740,978-779-0539,978-779-6812,NA
Sturbridge,,2870000,Public School District,Superintendent,Erin Nosek,320 Brookfield Rd,,Fiskdale,MA,1518,508-347-3077,508-347-2697,"PK,K,01,02,03,04,05,06"
Sturgis Charter Public (District),,4890000,Charter District,Charter School Leader,Eric Hieser,427 Main Street,,Hyannis,MA,2601,508-778-1782,508-771-6785,"09,10,11,12"
Sudbury,,2880000,Public School District,Superintendent,Anne Wilson,40 Fairbank Road,,Sudbury,MA,1776,978-639-3211,978-443-9001,"PK,K,01,02,03,04,05,06,07,08"
Sunderland,,2890000,Public School District,Superintendent,Martha Barrett,219 Christian Ln RFD1,,South Deerfield,MA,1373,413-665-1155,413-665-8506,"PK,K,01,02,03,04,05,06"
Sutton,,2900000,Public School District,Superintendent,Theodore Friend,383 Boston Rd,,Sutton,MA,1590,508-581-1600,508-865-6463,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Swampscott,,2910000,Public School District,Superintendent,Pamela Angelakis,207 Forest Avenue,,Swampscott,MA,1907,781-596-8800,781-599-2502,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Swansea,,2920000,Public School District,Superintendent,Robert Monteiro,1 Gardners Neck Road,,Swansea,MA,2777,508-675-1195,508-672-1040,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Tantasqua,,7700000,Public School District,Superintendent,Erin Nosek,320A Brookfield Rd,,Fiskdale,MA,1518,508-347-3077,508-347-2697,"07,08,09,10,11,12"
Taunton,,2930000,Public School District,Superintendent,Julie Hackett,215 Harris Street,,Taunton,MA,2780,508-821-1201,508-821-1177,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Templeton (non-op),,2940000,Public School District,Superintendent,Ruth Miller,462 Baldwinville Road,,Baldwinville,MA,1436,978-939-5661,978-939-5179,NA
Tewksbury,,2950000,Public School District,Superintendent,John O'Connor,139 Pleasant Street,,Tewksbury,MA,1876,978-640-7800,978-640-7804,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Tisbury,,2960000,Public School District,Superintendent,James Weiss,4 Pine Street,,Vineyard Haven,MA,2568,508-693-2007,508-693-3190,"PK,K,01,02,03,04,05,06,07,08"
Tolland (non-op),,2970000,Public School District,Superintendent,John Barry,86 Powder Mill Road,,Southwick,MA,1077,413-569-5391,413-569-1711,NA
Topsfield,,2980000,Public School District,Superintendent,Bernard Creeden,28 Middleton Road,,Boxford,MA,1921,978-887-0771,978-887-8042,"PK,K,01,02,03,04,05,06"
Townsend (non-op),,2990000,Public School District,Superintendent,Maureen Marshall,23 Main Street,,Townsend,MA,1469,978-597-8713,978-597-6534,NA
Tri County Regional Vocational Technical,,8780000,Public School District,Superintendent,Stephen Dockray,147 Pond Street,,Franklin,MA,2038,508-528-5400,508-528-6074,"09,10,11,12"
Triton,,7730000,Public School District,Superintendent,Christopher Farmer,112 Elm Street,,Byfield,MA,1922,978-465-2397,978-465-8599,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Truro,,3000000,Public School District,Superintendent,Brian Davis,P O Box 2029,,Truro,MA,2666,508-487-1558,508-487-4289,"PK,K,01,02,03,04,05,06"
Tyngsborough,,3010000,Public School District,Superintendent,Donald Ciampa,50 Norris Rd,,Tyngsborough,MA,1879,978-649-7488,978-649-7199,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Tyringham (non-op),,3020000,Public School District,Superintendent,Jason McCandless,"480 Pleasant Street, Suite 102",,Lee,MA,1238,413-243-0276,--,NA
UP Academy Charter School of Boston (District),,4800000,Charter District,Charter School Leader,James Morrison,215 Dorchester Street,,Boston,MA,2127,617-635-8819,--,"06,07,08"
